id,tweet,date
1400655139287994373,vaccine watch: inside moderna’s manufacturing process https://t.co/luj8byc8ah,2021-06-04 03:26:22+00:00
1399838370063433730,"[on] guelph 18+
woodlawn pharmacy: 472 woodlawn rd e
🥳50 moderna doses available!
❗2nd doses for 80+, high risk hcw, indigenous, specific cancers/transplant/dialysis
appts tomorrow 12-4pm!
💻book at https://t.co/ag9iynqik4 
📞or call 519-763-7373 #vhcdose2 #covid19on #vhcon",2021-06-01 21:20:49+00:00
1400525731403292678,@bostonbelle4 awesome! jan getting her second moderna tomorrow  #covidsucks,2021-06-03 18:52:09+00:00
1401183874374328325,this morning i booked my second vaccine at my local pharmacy at noon today! yay! anyone who had a moderna or pfizer vaccine prior to april 18th can book here - you don’t need to wait until monday for some places. https://t.co/ynha6n2dh2,2021-06-05 14:27:23+00:00
1399796386900582405,"here's what you need to know about the efficacy of the moderna vaccine in teens, vaccine verification for travelers, and more updates on what is happening with covid-19 in the united states and abroad. https://t.co/ww7cwoft82",2021-06-01 18:34:00+00:00
1400647439158157316,"🙏 hon'ble sir,
 ur government will taking...
pfizer and moderna vaccine from other countries.
their promises and conditions after, they will making vaccine more carefully.
r u sure sir...@drharshvardhan",2021-06-04 02:55:46+00:00
1400277972192530433,@abc7chicago moderna’s vaccine is actually “moderna/nih”.  interesting that it is omitted here.,2021-06-03 02:27:39+00:00
1399747699738615823,"@breadanarchism @andymarek99 @denz2021 @robertpijkeren @raymzter1 @kafka_dev @goed_be @jawnmard1 @autismespreekt @hnkdvrs @oliviap28146643 @matthijs85 @johnyberkvens @partijvddieren @kara___gozlum arrs tend to be ignored because they give a much less impressive effect size than rrrs: 1·3% for the astrazeneca–oxford, 1·2% for the moderna–nih, 1·2% for the j&amp;j, 0·93% for the gamaleya, and 0·84% for the pfizer–biontech vaccines.

https://t.co/fbc2kvyr6o",2021-06-01 15:20:32+00:00
1399818019753234432,moderna and pfizer vaccines - effectiveness 19-29% estimated by the bmj (not confirmed) https://t.co/6gu1grcgf9,2021-06-01 19:59:57+00:00
1400577392742178824,"@guardiannews covid-19 vaccines profits in 2021

pfizer, johnson &amp; johnson, moderna, astrazeneca
https://t.co/q24cvpe0xs",2021-06-03 22:17:26+00:00
1401392695902359554,"in addition, az vaccine doesn’t need deep freezing and it costs 3x less than pfizer and 6x less than moderna. most important, oxford university’s/jenner institute’s global commitment to making az available to poorer countries without regard to profits is often overlooked. https://t.co/q1wyzago9b",2021-06-06 04:17:09+00:00
1400877043244355586,"@dfisman i follow your informative tweets on covid and wanted to ask you a question: if someone has had an inactivated virus vaccine like sinovac, is there any reason they couldn't later on get an adenovirus (j&amp;j) or mrna vaccine (pf/moderna)? would one interfere with the other?",2021-06-04 18:08:08+00:00
1400120482154881024,"@alisonsaidso @bkives well @alisonsaidso be happy!
you will get pfizer or moderna as dose 2 and that is likely to increase the overall vaccine effectiveness. 

https://t.co/mahljw4xnr",2021-06-02 16:01:50+00:00
1400306589899313158,@laszlovictory i think it is prudent to get it even for 20 somethings as we know pfizer and moderna vaccines seem quite effective against it.,2021-06-03 04:21:22+00:00
1401051334254673920,"people who have already had a corona infection only need to get one shot of a so-called mrna vaccine such as pfizer/biontech or moderna. it does not matter whether the infection was more than six months ago or whether someone has had serious complaints.

 https://t.co/8u2ltd4tju",2021-06-05 05:40:43+00:00
1400080430762663938,"foreign vaccines like pfizer, moderna a step closer with key india waiver. by doing this govt is bowing down to western and leftists pressure. if something happens the kabal will put all the blame in central govt. #pfizer #moderna 

@eklavyadsa @realkingbhau2 @mj_007club",2021-06-02 13:22:41+00:00
1401212120700796931,"on monday, ahead of schedule, individuals aged 70+, as well as those who received their first dose of the pfizer or moderna vaccine on or before april 18, will be eligible to book an accelerated second dose appointment 💉
 
details: https://t.co/uh6t5b7qzk",2021-06-05 16:19:37+00:00
1400685938221662213,covid-19 vaccine; pfizer and moderna side effects https://t.co/jsmsdz6mar,2021-06-04 05:28:45+00:00
1399796684859793408,@jemssalvatore this is what you meant by people getting a third jab? it’s a trial to mix the vaccines so if say someone’s had two az they could be given a moderna etc https://t.co/ddfapwhyj3,2021-06-01 18:35:11+00:00
1400526054511501313,@atensnut how about the possibility of quid pro quo joe paying back pfizer / moderna for holding the info of a vaccine till after the election !,2021-06-03 18:53:26+00:00
1401329144965783561,"@meanmamasween i've been moderna'd. i still wear a mask away from home because not everybody else did. look if you think a simple thing like a mask is too much to ask of you or taking a free vaccine shot is too much, you're the problem the rest of us have to avoid.",2021-06-06 00:04:38+00:00
1400529205977391108,"york region community paramedic karen mcintyre vaccinates caroline bagnato at her home with the moderna covid-19 vaccine due to her mobility issues in newmarket, canada. photo by @carlososorio https://t.co/pt0ncmqw32",2021-06-03 19:05:57+00:00
1400452269015924737,"there are 0 new or recovered cases of #covid19 in nunavut today. there are still 9 active cases in iqaluit. 
 
17,342 people in nunavut have received their 1st dose of moderna &amp; 15,167 are now fully vaccinated. there have been 244 recoveries in this outbreak. https://t.co/caqenndnxr",2021-06-03 14:00:14+00:00
1399646528126570498,"canada to recommend mixing and matching astrazeneca, pfizer and moderna covid-19 vaccines https://t.co/4j8rz7azfe",2021-06-01 08:38:31+00:00
1399867143034920965,"moderna said it has started the process of obtaining full approval of its covid-19 vaccine. it will submit data “on a rolling basis over the coming weeks,” which the fda will scrutinize.​ https://t.co/5sj3eydxch",2021-06-01 23:15:09+00:00
1399744633668833295,moderna officially seeking fda approval for its covid-19 vaccine https://t.co/pxcpqce3wg,2021-06-01 15:08:21+00:00
1400096860686127105,"i have a question about the covid-19 vaccines and i can't find the answer online, so:

if 3/4 members of a household have received the moderna vaccine, is it ""okay"" for the fourth person to receive pfizer?

i'm trying to book an appt for the 4th member &amp; only pfizer is available.",2021-06-02 14:27:58+00:00
1401565216442310659,huge thanks to @hywelddahb staff at y ffwrnes drop in covid vaccination centre today where my daughter received her 1st moderna vaccine 👏🏻👏🏻 @edwards_lynnie @leonydavies @jervis_ros,2021-06-06 15:42:42+00:00
